"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Washington State","Pac-12","UCLA","Pac-12","401524028","4015240285","5","false","1","71","71","6","43","1","8","8","4","14","2","29","6","63","FUMBLE","false","3","0","3","0"
"UCLA","Pac-12","Washington State","Pac-12","401524028","4015240286","6","false","1","8","92","4","14","1","16","84","0","44","3","30","6","8","PUNT","true","0","3","0","3"
"Washington State","Pac-12","UCLA","Pac-12","401524028","4015240287","7","false","1","71","71","0","44","2","37","37","14","40","1","4","4","34","FUMBLE","false","3","0","3","0"
"UCLA","Pac-12","Washington State","Pac-12","401524028","4015240288","8","true","2","37","63","14","40","2","100","0","11","31","3","9","9","63","TD","true","0","3","6","3"
"Washington State","Pac-12","UCLA","Pac-12","401524028","4015240289","9","false","2","75","75","11","31","2","62","62","10","20","1","11","6","13","PUNT","false","3","6","3","6"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402810","10","false","2","18","82","10","20","2","9","91","8","48","1","32","3","-9","PUNT","true","6","3","6","3"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402811","11","false","2","54","54","8","47","2","49","49","6","46","2","1","3","5","PUNT","false","3","6","3","6"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402812","12","false","2","12","88","6","46","2","20","80","5","9","1","37","3","8","PUNT","true","6","3","6","3"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402813","13","false","2","58","58","5","9","2","58","58","4","55","0","14","2","0","INT","false","3","6","3","6"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402814","14","true","2","35","65","4","55","2","81","19","1","30","3","25","9","46","FG","true","6","3","9","3"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402815","15","false","2","80","80","1","26","2","76","76","1","5","0","21","3","4","PUNT","false","3","9","3","9"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402816","16","true","2","29","71","1","5","2","95","5","0","7","0","58","7","66","INT TD","true","9","3","9","10"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402817","17","false","3","25","75","15","0","3","30","70","13","39","1","21","3","5","PUNT","true","9","10","9","10"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402818","18","false","3","62","62","13","38","3","67","67","12","9","1","29","3","-5","PUNT","false","10","9","10","9"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402819","19","false","3","20","80","12","9","3","24","76","10","50","1","19","3","4","PUNT","true","9","10","9","10"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402820","20","false","3","71","71","10","50","3","84","84","8","44","2","6","3","-13","PUNT","false","10","9","10","9"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402821","21","true","3","57","43","8","44","3","86","14","7","25","1","19","5","29","FG","true","9","10","12","10"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402822","22","true","3","74","74","7","19","3","0","0","5","17","2","2","4","74","TD","false","10","12","17","12"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402823","23","false","3","25","75","5","17","3","85","15","2","50","2","27","8","60","MISSED FG","true","12","17","12","17"
